Date,Open,High,Low,Close,Volume,KDJ ,W%R ,RSI,label
2012/5/1,83.557144,85.251427,83.03286,83.16143,152749800,-0.845406189,-0.87143,399.093815,-1.842858
2012/5/2,82.891426,83.914284,82.694283,83.711426,106847300,0.031681657,0.017143,-68.04226966,-0.665718
2012/5/3,84.35714,84.485718,82.900002,83.117142,97637400,-0.764090958,-0.78286,224.5724049,1.465714
2012/5/4,82.440002,82.622856,80.738571,80.75,132498100,-0.965765143,-0.988571,118.2300089,-1.917138
2012/5/7,80.214287,81.824287,80.175713,81.354286,115029600,0.198720734,0.178573,-52.87877843,-2.225715
2012/5/8,81.368568,81.64286,79.818573,81.168571,124313000,0.372342722,0.349998,519.4141412,1.154281
2012/5/9,80.528572,81.997147,80.121429,81.311432,120176000,0.212878406,0.190003,-486.9960856,-0.839996
2012/5/10,82.082855,82.26857,81.205711,81.502853,83300000,-0.689938619,-0.702858,-343.4665809,1.554283
2012/5/11,80.714287,82.067146,80.621429,80.958572,99886500,-0.64524073,-0.662857,231.2469245,-1.368568
2012/5/14,80.367142,81.072861,79.657143,79.745712,88156600,-0.893968708,-0.911431,147.7087097,-0.347145
2012/5/15,80.207146,80.459999,78.821426,79.024284,119084000,-0.776776936,-0.797142,190.2844102,-0.159996
2012/5/16,79.150002,79.555717,77.291428,78.011429,140224000,-0.251537325,-0.279999,157.0456039,-1.057144
2012/5/17,77.901428,78.214287,75.73143,75.73143,179305000,-0.96825571,-1,112.226983,-1.248574
2012/5/18,76.279999,77.629997,74.597145,75.76857,183073100,0.210493042,0.171425,-1963.348538,-1.621429
2012/5/21,76.35714,80.220001,76.292854,80.182854,157776500,2.938954711,2.89,58.60416236,0.077141
2012/5/22,81.364288,81.982857,78.940002,79.567146,173717600,-0.335740253,-0.372856,210.4115566,5.007148
2012/5/23,79.64286,81.828575,79.03286,81.508568,146224400,1.50987351,1.475708,38.58319403,-1.721428
2012/5/24,82.267143,82.35714,80.175713,80.760002,124057500,-0.389223594,-0.415711,190.3948492,2.624283
2012/5/25,80.655716,80.835716,79.781425,80.327141,82126800,-0.441241609,-0.454284,267.3326015,-1.611427
2012/5/29,81.557144,82,80.758568,81.752853,95127200,0.009424415,-0.005715,23.98536861,0.901428
2012/5/30,81.314285,82.855713,80.937141,82.738571,132357400,0.824585579,0.80143,-1.184511439,-0.242859
2012/5/31,82.96286,83.071426,81.637146,82.53286,122918600,-0.087020376,-0.104286,484.946382,1.648575
2012/6/1,81.308571,81.807144,80.074287,80.141426,130246900,-0.911678779,-0.932861,117.0447303,-1.654289
2012/6/4,80.214287,81.071426,78.35714,80.612854,139248900,1.289194181,1.255714,-89.8557443,-1.094284
2012/6/5,80.181427,80.924286,79.761429,80.404289,97053600,-0.342770309,-0.35714,467.124752,-0.03286
2012/6/6,81.110001,81.978569,80.785713,81.637146,100363900,-0.134016173,-0.148567,15.18643405,0.928574
2012/6/7,82.470001,82.474289,81.5,81.674286,94941700,-0.813900755,-0.825714,-2116.4551,1.36
2012/6/8,81.657143,82.940002,81.285713,82.902855,86879100,0.637087611,0.617142,15.19508459,-0.812858
2012/6/11,83.959999,84.071426,81.51857,81.595711,147816200,-0.892493677,-0.922859,146.3257487,2.302856
2012/6/12,82.065712,82.374283,80.957146,82.308571,108845100,0.368628634,0.351425,-32.86675148,-1.894287
2012/6/13,82.074287,82.639999,81.482857,81.737144,73395000,-0.731710798,-0.745713,226.3489664,0.008575
2012/6/14,81.605713,81.928574,81.03714,81.647141,86393300,-0.379118376,-0.389999,989.8973609,-0.468574
2012/6/15,81.571426,82.08857,81.364288,82.01857,83813800,-0.336894823,-0.345718,-138.1718311,-0.034287
2012/6/18,81.565712,83.984283,81.48143,83.682854,110103000,1.231225445,1.201424,32.73697503,-0.005714
2012/6/19,83.342857,84.285713,83.300003,83.915718,90351100,-0.372590135,-0.384285,-275.6807831,1.777145
2012/6/20,84.029999,84.178574,82.971428,83.677139,89735800,-0.2799487,-0.294289,435.6470858,0.687142
2012/6/21,83.634285,84.031425,82.491432,82.524284,81587800,-0.948821606,-0.967148,156.2596745,-0.395714
2012/6/22,82.720001,83.169998,82.202858,83.157143,71117900,-0.034086528,-0.045715,-47.87487916,-0.914284
2012/6/25,82.471428,82.828575,81.48143,81.538574,76095600,-0.926591746,-0.942856,134.5340957,-0.248573
2012/6/26,81.618568,82.07,81.047142,81.718575,69134100,-0.316103761,-0.328567,-371.4509872,-0.85286
2012/6/27,82.14286,82.391426,81.702858,82.071426,50749300,-0.623074723,-0.631432,-149.8765601,0.524292
2012/6/28,81.667145,82,80.80143,81.292854,70709100,-0.493959293,-0.508576,187.4841894,-0.475715
